"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","wj3.rcomp.raw","wj3.rcomp.t","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2","Pred","stdPred","resid","CI_group"
"299","1142",22.17,2.319564586,124,0.336713801,64,-0.177123521,61,-1.090377422,26,-0.636451412,195,-0.237709099,24,0.919173977,37,-0.063771287,-0.391809638510368,-0.0532596254609991,-0.0650413098991761,-0.0105116615390004,-0.0455111176277476,-0.0554111350878818,-0.0182601693722517,-0.0419353968203826,-0.0515636442569186,-0.0218358901796172,"EAC"
"304","1153",20,0.149564586,96,-1.173403176,54.66666667,-0.687686531,62,-0.95661663,28,-0.06006099,166,-1.5021797,21,0.053831952,29,-1.708854315,-0.719441831770323,-0.966946004861343,-1.18084635810346,-0.741908310138657,-0.982218820645485,-1.19588053634434,-0.726635494354515,-0.983898317491618,-1.19593353206151,-0.724955997508382,"EPC"
"308","1161",21.58,1.729564586,126.6666667,0.480534467,68,0.051303916,63,-0.816650502,31,1.09549979,199,-0.001442346,23,0.616530895,38,0.162183131,0.20267191771486,0.175431093656832,0.214238610018878,-0.0132479626568305,0.162910362985662,0.198348197133237,-0.000727231985660683,0.166579147411357,0.201756056924169,-0.00439601641135749,"EAC"
"309","1163",22,2.149564586,118.6666667,0.049072473,64,-0.177123521,67,-0.191012637,26,-0.636451412,193,-0.349510156,21,0.053831952,41,0.866429766,-0.238878774262482,-0.203348266472966,-0.248331404941618,1.06977803247297,-0.218247989872226,-0.265723398592181,1.08467775587223,-0.216061704854583,-0.263105838982514,1.08249147085458,"UGC"
"314","1178",22.67,2.819564586,109.3333333,-0.454299856,66.66666667,-0.025456162,63,-0.816650502,28,-0.06006099,189,-0.560998323,15,-1.30080831,35,-0.502320313,-0.339116877521773,-0.533836487075056,-0.651927686153431,0.0315161740750565,-0.572316994016598,-0.69681290907564,0.069996681016599,-0.572658043876948,-0.696326832636658,0.0703377308769481,"EAC"
"315","1179",20.75,0.899564586,101.3333333,-0.885761849,82.66666667,0.934387036,73,0.966039424,32,1.571361153,202,0.187284574,23,0.616530895,39,0.392552867,0.646506440947235,0.380249165671836,0.464364959574183,0.0123037013281655,0.355033238514243,0.432263494419525,0.0375196284857587,0.358540663276118,0.434965850592498,0.0340122037238816,"EAC"
"318","1183",16.67,-3.180435414,138.6666667,1.127727457,78.66666667,0.686725704,67,-0.191012637,30,0.667255005,205,0.386326069,24,0.919173977,42,1.109884717,0.572673882218504,0.442565804823334,0.540466806028325,0.667318912176668,0.381971104660992,0.465061145145076,0.72791361233901,0.385014665080739,0.467128528984663,0.72487005191926,"UGC"
"319","1185",23.67,3.819564586,137.3333333,1.055817121,74.66666667,0.444091974,73,0.966039424,32,1.571361153,214,1.049396635,21,0.053831952,41,0.866429766,1.00932741795559,0.890879082645979,1.08795249679655,-0.0244493166459769,0.921848073197695,1.12237736137304,-0.0554183071976928,0.922695925191636,1.12034558223053,-0.0562661591916369,"EAC"
"324","1191",15.83,-4.020435414,97.33333333,-1.101492844,53.33333333,-0.757935589,57,-1.566962831,26,-0.636451412,174,-1.223262879,19,-0.452727525,29,-1.708854315,-1.01571066901103,-1.04663195649909,-1.27815982267182,-0.662222358500911,-1.02212187892082,-1.24446369289676,-0.686732436079184,-1.02361358059387,-1.24418272550966,-0.685240734406129,"EPC"
"329","1201",25.25,5.399564586,118.6666667,0.049072473,68,0.051303916,73,0.966039424,29,0.283170289,214,1.049396635,24,0.919173977,45,1.8660181,0.337396525472177,0.865427987051602,1.05687130571524,1.0005901129484,0.893324949857931,1.08764961301305,0.97269315014207,0.897745382339451,1.090033720375,0.968272717660549,"UGC"
"335","1210",16,-3.850435414,97.33333333,-1.101492844,57.33333333,-0.545126525,60,-1.21811453,22,-1.42828288,169,-1.403060569,18,-0.685210621,33,-0.922856738,-1.0732541947518,-1.18814596753765,-1.45097847409146,0.265289229537649,-1.12961229378919,-1.37533646002658,0.206755555789193,-1.13164241482127,-1.37542456336924,0.20878567682127,"EPC"
"338","4003",18.75,-1.100435414,130.6666667,0.696265464,73.33333333,0.364357844,71,0.549087282,30,0.667255005,210,0.742076925,21,0.053831952,36,-0.285282158,0.569241398717842,0.530790413097695,0.648207783137983,-0.816072571097694,0.498307662413496,0.60670435351925,-0.783589820413494,0.500767563323004,0.607754161127554,-0.786049721323005,"UPC"
"343","4012",14.09,-5.760435414,109.3333333,-0.454299856,46.66666667,-1.098459697,49,-2.275104054,18,-1.869517876,177,-1.106126956,18,-0.685210621,35,-0.502320313,-1.42434537073951,-1.15979814087053,-1.41635975938373,0.657477827870527,-1.0856052218183,-1.32175654511821,0.583284908818297,-1.08521944713834,-1.31902632820196,0.582899134138337,"EPC"
"344","4013",14.92,-4.930435414,129.3333333,0.624355128,80.27681661,0.785822434,71,0.549087282,30,0.667255005,217,1.293802699,24,0.919173977,41,0.866429766,0.656629962215455,0.909441952603636,1.11062170197996,-0.0430121866036348,0.926557994257632,1.1281118299099,-0.060128228257631,0.930476240687307,1.1297977151919,-0.0640464746873077,"EAC"
"347","4021",18.17,-1.680435414,134.6666667,0.91199646,118.0645161,3.32533162,75,1.41646007,30,0.667255005,208,0.596083262,14,-1.479125651,42,1.109884717,1.58026078870203,0.487734729674793,0.595627652799725,0.62214998732521,0.449424016865779,0.547187065693571,0.660460700134223,0.443998383524986,0.538786542030698,0.665886333475012,"UGC"
"350","4026",17,-2.850435414,94.66666667,-1.245313509,61.33333333,-0.326270702,61,-1.090377422,24,-1.085442292,184,-0.803745937,18,-0.685210621,30,-1.519325758,-0.936850981258216,-0.82248196765424,-1.0044250984307,-0.69684379034576,-0.791734641943693,-0.963960401031063,-0.727591116056307,-0.790422014132273,-0.960883456618618,-0.728903743867726,"UPC"
"352","4030",16.92,-2.930435414,147.1428571,1.584871708,77.33333333,0.605281744,69,0.163943594,30,0.667255005,201,0.123249075,19,-0.452727525,38,0.162183131,0.755338012719802,0.152246045812959,0.185924744331146,0.00993708518704272,0.109781283241379,0.133661967298613,0.052401847758622,0.110356859449618,0.13345284460553,0.0518262715503814,"EAC"
"353","4034",18.25,-1.600435414,113.3333333,-0.238568859,85.90909091,1.138733123,76,1.654750487,32,1.571361153,214,1.049396635,25,1.236134677,46,2.126573476,1.03156897594717,0.986023894600615,1.20414451178435,1.14054958139939,0.975733557275136,1.18798453591023,1.15083991872487,0.979289966437761,1.18910042938002,1.14728350956224,"UGC"
"358","4040",15.67,-4.180435414,141.5286913,1.282084312,78.66666667,0.686725704,71,0.549087282,32,1.571361153,209,0.668454285,26,1.567500578,36,-0.285282158,1.02231461270559,0.792545965420373,0.967866884184045,-1.07782812342037,0.702635332910708,0.855479350544836,-0.987917490910706,0.706877190300946,0.858152181606022,-0.992159348300947,"UPC"
"359","4044",18.42,-1.430435414,122.6666667,0.26480347,70.66666667,0.206641551,69,0.163943594,26,-0.636451412,199,-0.001442346,23,0.616530895,41,0.866429766,-0.000265699264305246,0.068590003204921,0.0837629558232515,0.79783976279508,0.0365965823854545,0.044557424123196,0.829833183614547,0.0393272014130865,0.0471604863669043,0.827102564586913,"UGC"
"360","4047",16.84,-3.010435414,122.6666667,0.26480347,68,0.051303916,61,-1.090377422,27,-0.365597421,201,0.123249075,21,0.053831952,37,-0.063771287,-0.284966864265459,-0.0542395055447163,-0.0662379515135166,-0.00953178145528329,-0.0666776620597743,-0.0811820305094651,0.00290637505977479,-0.0634422090929866,-0.0776917941100955,-0.000329077907013436,"EAC"
