"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"58","1095",18.5,1.916085409,93.33,0.941437028,61.33,0.347785989,64,0.346288694,26,1.102549013,190,0.260363295,20,0.904086171,64,0.57602551,33,0.63160695,0.684515181,0.792548827,-1.05949304695765,0.600786084715414,0.672033339914041,-0.0247605747154132,"EAC"
"59","1096",18.25,-2.543914591,122.67,0.437474103,73.33,1.063679019,61,0.5444753,28,0.682542295,159,-0.370349867,18,-0.958524173,65,-0.810460226,34,-0.755508785,0.682042679,0.789686102,-0.909099907753177,-0.295390697981415,-0.330421097312634,-0.515069528018585,"UPC"
"62","1099",17.5,-2.663914591,109.33,1.737082673,60,1.229524939,60,0.346288694,27,0.304076256,145,0.698266199,18,0.013034742,67,0.57602551,32,0.385124145,0.904243141,1.046955364,-1.04396865340011,0.579321976335161,0.648023801726554,-0.00329646633516055,"EAC"
"63","11",19.05,-0.813914591,148.57,1.013277401,81.33,0.573339531,74,1.421900249,31,0.682542295,214,1.917861794,26,2.317299631,84.35849057,1.758364907,41,1.678754225,0.922764869,1.068400285,0.987793712996983,1.67581555645652,1.87455061653142,0.0825493505434836,"EAC"
"64","110",17.96,2.266085409,129.33,0.077191927,76,-0.44592234,71,0.346288694,30,-1.782380296,204,0.401106703,18,-0.738283726,78,1.071302565,43,-0.317608215,-0.451205504,-0.522417037,0.866334659936123,0.107587318983822,0.120346105109155,0.96371524601618,"UGC"
"68","1106",18.58,0.616085409,112,-0.426770997,65.33,0.16949459,61,-0.828317379,26,-0.339824306,184,0.124662443,19,0.904086171,72,0.234823476,34,-0.089482551,-0.356354523,-0.412596195,-0.59564189347543,0.198619486138494,0.222173782032394,0.036203989861507,"EAC"
"69","1108",16.25,2.496085409,100,0.509314477,77.33,0.248971844,68,0.965801985,30,1.567141763,214,0.935398336,25,-0.738283726,89,0.817785013,44,0.63160695,0.822807517,0.952667159,1.73702890938847,0.833025256355258,0.93181376784214,-0.0152402433552563,"EAC"
"70","111",23.55,-4.733914591,137.33,-0.138869348,70.67,-0.665955136,73,-1.350555732,28,-1.41322975,211,-0.694976298,17,-0.252693548,83.26415094,0.234823476,40,-0.539616645,-0.892152492,-1.032956507,0.781731374585811,-0.851532274177944,-0.952515533978094,1.08635575017794,"UGC"
"71","1115",18.17,0.176085409,114.67,1.434056735,70.67,0.767457027,60,0.965801985,22,1.567141763,185,0.775922446,18,0.904086171,67.58490566,0.021240794,34,0.385124145,1.183614378,1.370418382,-0.800643722204014,0.922246650526719,1.03161593211333,-0.901005856526719,"UPC"
"73","1119",19.08,4.326085409,106.67,-0.32900327,58.67,0.232190516,63,0.750905434,24,-0.035776103,217,-0.006129261,24,-0.252693548,68,0.234823476,38,0.385124145,0.154579144,0.178975606,-0.307631169888243,0.225160574071086,0.251862379059852,0.00966290192891604,"EAC"
